"County","AitkinCounty","AnokaCounty","BeckerCounty","BeltramiCounty","BentonCounty","BigStoneCounty","BlueEarthCounty","BrownCounty","CarltonCounty","CarverCounty","CassCounty","ChippewaCounty","ChisagoCounty","ClayCounty","ClearwaterCounty","CookCounty","CottonwoodCounty","CrowWingCounty","DakotaCounty","DodgeCounty","DouglasCounty","FaribaultCounty","FillmoreCounty","FreebornCounty","GoodhueCounty","GrantCounty","HennepinCounty","HoustonCounty","HubbardCounty","IsantiCounty","ItascaCounty","JacksonCounty","KanabecCounty","KandiyohiCounty","KittsonCounty","KoochichingCounty","LacquiParleCounty","LakeCounty","LakeoftheWoodsCounty","LeSueurCounty","LincolnCounty","LyonCounty","McLeodCounty","MahnomenCounty","MarshallCounty","MartinCounty","MeekerCounty","MilleLacsCounty","MorrisonCounty","MowerCounty","MurrayCounty","NicolletCounty","NoblesCounty","NormanCounty","OlmstedCounty","OtterTailCounty","PenningtonCounty","PineCounty","PipestoneCounty","PolkCounty","PopeCounty","RamseyCounty","RedLakeCounty","RedwoodCounty","RenvilleCounty","RiceCounty","RockCounty","RoseauCounty","StLouisCounty","ScottCounty","SherburneCounty","SibleyCounty","StearnsCounty","SteeleCounty","StevensCounty","SwiftCounty","ToddCounty","TraverseCounty","WabashaCounty","WadenaCounty","WasecaCounty","WashingtonCounty","WatonwanCounty","WilkinCounty","WinonaCounty","WrightCounty","YellowMedicineCounty"
"SwiftCounty",187.3,141.4,138.8,211.8,99.6,48.1,155.5,113.6,208,123.5,177.8,30.4,154.9,135.1,190.1,349.4,127.8,157.7,156.8,217.4,59.8,197.2,255,208.9,196,61.8,129.4,302.2,156.8,134.3,241.5,149.9,139.4,40.7,301.3,277.7,42,302.1,304.2,153.8,87.2,80.9,94.6,171.7,250.8,168.6,69.6,126.6,113.1,236.7,109.1,135.6,146.2,162.9,223.4,107.8,219.6,170.9,118.5,201.9,34.9,156.7,206.3,102.6,71.3,175.4,141.9,279,264.4,142.3,115.2,115.9,75.7,199.9,35.7,14.1,92.7,71.1,226.1,114,178.3,169.5,136.5,98.7,263.5,101.5,58.7
"ToddCounty",111.2,116.4,87.4,142.9,64.2,122.4,183.8,138.4,165.4,134.3,103.8,108.8,129,113.1,121.1,306.7,161.8,81.5,157.2,217.8,44.1,257,255.4,226.9,196.3,79.7,128.1,302.6,87.8,108.4,165.3,183.9,105.8,68.9,232.5,208.7,130.6,259.5,235.3,182.6,169.1,143.8,119.5,121.7,200.7,193.4,83.5,81.2,36.9,237.1,171.1,163.9,208.3,140.9,223.8,64.5,169.5,134.7,182,160.3,62.6,138.8,156.3,136.6,105.2,175.8,209.3,228.9,221.8,151.5,90.2,142.7,60.2,200.3,88.7,92.7,16.1,99.9,226.4,45.1,215.1,151.6,161.3,98,263.9,104.7,129.9
"TraverseCounty",194.6,180,113.2,225,134.9,29.1,207.8,166.3,243.3,190.8,183.8,93.2,190.2,87.5,182.4,384.7,174.5,164.9,213.7,274.3,62.5,261.8,311.9,283.5,252.9,47,184.7,359.1,163,169.6,248.7,202.6,174.7,98.1,251.3,283.9,65.7,337.4,297.3,239.2,107.3,120.2,152,145.3,231.6,231.4,127.6,161.9,120.3,293.6,148.4,193,188.7,115.3,280.3,90.1,189.9,206.2,138.6,154.3,64.2,195.3,172,148.3,128.7,232.3,162.1,251.2,299.7,208.1,153.8,173.4,115.4,256.8,39,71.1,99.9,12.5,283,120,271.7,208.1,189.2,47.5,320.4,161.3,103.3
"WabashaCounty",220.5,111.1,306.4,337.9,173.2,267.4,110.3,147.1,209,113.3,274.2,209.9,131.2,323.9,338.9,350.4,173,234.3,74.8,54.6,233.6,131.1,69.8,101.1,44,262.7,98.9,86.7,289,140.8,287.9,196.8,160.8,185.1,490.1,366.1,239.4,303.1,416.6,89.8,230.2,204.9,136.4,340.6,419.7,159.6,157.6,168.3,196.7,72.8,210.3,113.1,221.7,351.7,37.2,281.5,388.5,171.9,234.9,390.7,231.8,87.4,375.3,174.9,170.8,66.3,248.3,441.3,265.4,93.9,145.7,120.3,181.3,76.4,256.8,226.1,226.4,283,12.1,264,99.4,96.8,145.3,294.3,50.3,132.8,218
"WadenaCounty",103.6,154,68.3,108,101.8,142.5,222.9,181.6,149,171.9,74.8,152.1,166.6,94,86.2,290,205,73.9,194.8,255.4,64,294.6,293,264.5,233.9,92.9,165.7,340.2,52.9,146,139.2,227.1,134.4,112.1,209.6,173.8,151.9,242.8,200.3,220.2,197,187,158.6,91.2,177.8,244.6,126.7,113.6,69.3,274.7,214.4,203,251.5,121.8,261.4,61.5,146.6,147.8,225.2,137.4,83.9,176.4,133.4,179.8,148.4,213.4,252.5,195.1,183.5,189.1,127.8,181.8,103.4,237.9,108.8,114,45.1,120,264,12,252.7,189.2,204.5,92,301.5,142.3,159.7
"WasecaCounty",224.7,110.5,295,326.6,161.9,207.2,36.7,76.7,212,73.7,262.9,159,134.2,312.6,327.6,353.4,99.5,223,77.5,45.1,222.3,58.5,101.2,34.7,75.8,251.4,87.6,147.2,277.7,131.1,278.8,124.2,163.8,143.6,478.8,355.8,179.3,306.1,406.3,39.5,163.4,138.6,88.8,329.4,408.4,87,117.5,157,185.4,61.9,136.7,49.1,149.1,340.4,66.7,270.2,377.2,174.9,161.4,379.4,220.5,90.4,364,104.5,114.3,40.5,175.6,430,268.4,56.2,134.4,64.5,170,27.6,200.4,178.3,215.1,271.7,99.4,252.7,10.7,102.6,71.8,283,108.4,121.5,154.9
"WashingtonCounty",145.4,38.5,231.5,263,98.4,215.7,112.5,137.3,133.9,57.5,199.4,156.4,56.1,249,264,275.2,169.3,156.5,30.5,83.1,158.7,144.5,125.8,114.4,63.6,187.9,32.7,148.5,214.2,65.7,212.7,184,85.7,139,415.3,291,188.2,228,341.5,83,204.8,179.5,85.1,265.8,344.9,173,99.6,90.6,121.8,109.6,206.5,103.2,206.2,276.8,94.2,206.7,313.6,96.7,217.7,315.9,156.9,21,300.4,154.6,119.5,63.3,232.7,366.4,190.3,48.3,70.9,94.8,106.4,87.8,182,169.5,151.6,208.1,96.8,189.2,102.6,10.6,141.6,219.4,112.1,64.9,166.8
"WatonwanCounty",245.1,136.6,249.7,303.3,140.5,162.6,39.9,26.3,248.7,95.5,239.6,117.2,170.9,257.3,280.5,390,39.4,206.7,113.9,105.6,167,58.9,156.5,89.9,122.6,184.7,116.5,204.4,254.5,173.8,299.2,45.2,189.9,101.8,423.6,354.6,134.7,342.8,395.7,64.9,113.9,93.8,85.9,284,363.1,35.3,96.8,177.5,162.1,117.1,67.7,55.2,67.4,285.1,127.2,215,331.8,211.5,92.3,324.2,151.1,129.4,318.6,59.9,72.5,87.2,93.9,391.2,305.1,92.1,154.9,63.7,124.9,88.1,158.6,136.5,161.3,189.2,145.3,204.5,71.8,141.6,10.8,227.7,184,120.7,110.6
"WilkinCounty",164.1,191.4,74.8,179.7,146.2,73.2,250.3,204.8,209.5,202.1,155.8,116.1,201.5,48.3,144.8,350.5,220.5,134.4,225,285.6,68.5,324.8,323.2,294.8,264.2,49.7,196,370.5,124.6,180.9,210.9,242.6,186,127.6,212.9,245.5,109.8,303.2,258,250.5,151.4,164.2,185.9,107.8,171.6,259.8,149.9,173.2,131.6,305,192.4,230.4,268.8,76.1,291.6,53.5,155.6,217.5,215.7,115.1,90.5,206.6,132.8,195.3,164,243.7,246,212,255.1,219.4,165.1,209.2,126.7,268.1,71.5,98.7,98,47.5,294.3,92,283,219.4,227.7,14.1,331.7,172.6,141.2
"WinonaCounty",258,148.5,343.8,375.3,210.7,304.8,133.8,173.8,246.4,150.8,311.6,247.3,168.7,361.3,376.3,387.8,209.8,271.7,112.3,63.6,271,127.5,52.5,97.5,81.4,300.1,136.4,46.7,326.5,178.3,325.3,193.3,198.2,222.6,527.5,403.5,276.9,340.6,454.1,129.9,260.4,235.6,173.8,378.1,457.1,156,195.1,205.8,234.1,69.3,240.4,146.2,218.1,389.1,39.6,319,425.9,209.3,270.5,428.1,269.2,124.9,412.7,201.6,208.2,106.4,244.7,478.7,302.9,131.3,183.1,161.6,218.7,85.5,294.2,263.5,263.9,320.4,50.3,301.5,108.4,112.1,184,331.7,13,170.2,255.5
"WrightCounty",134,41.1,184.6,216.1,51.5,145.4,98.5,103.8,147.4,35.4,152.5,107.4,85.1,202.2,217.2,288.8,141.1,119.6,63.5,124.1,111.8,163.3,161.7,133.3,102.7,141,36.1,208.9,167.3,62.7,188.2,163.1,78.8,71,368.4,267.4,134.9,241.5,308.5,88.9,167.7,142.4,54.7,218.9,298,135.8,42.9,66.4,75,143.4,169.8,78.6,185.3,230,130.1,159.8,266.8,110.3,180.6,269,92.3,52.1,253.5,120.4,89.2,82.1,211.8,319.5,203.8,57.9,24,62,59.5,106.6,117.4,101.5,104.7,161.3,132.8,142.3,121.5,64.9,120.7,172.6,170.2,13.8,128.5
"YellowMedicineCounty",226,158.4,183.5,257.5,130.1,76.7,128.9,87.4,238.4,112.3,229.2,31.3,196.4,179.7,235.7,379.8,86.9,196.3,147.4,188.7,105.5,166,247,197.1,187.9,106.5,137.5,294.2,202.4,164.8,280.1,106.8,169.8,61.2,346,323.3,40.6,332.6,349.9,137,49,24.4,96.3,216.4,295.4,135.6,85.5,157.1,151.7,224.3,52.6,118.9,89.7,207.5,215.4,153.5,264.2,201.3,62.7,246.5,80.5,154.6,251,52.5,54.5,166,90,323.6,294.9,131,145.7,99.2,106.1,171.2,78.1,58.7,129.9,103.3,218,159.7,154.9,166.8,110.6,141.2,255.5,128.5,14.2
