"County","AdamsCounty","AllenCounty","AshlandCounty","AshtabulaCounty","AthensCounty","AuglaizeCounty","BelmontCounty","BrownCounty","ButlerCounty","CarrollCounty","ChampaignCounty","ClarkCounty","ClermontCounty","ClintonCounty","ColumbianaCounty","CoshoctonCounty","CrawfordCounty","CuyahogaCounty","DarkeCounty","DefianceCounty","DelawareCounty","ErieCounty","FairfieldCounty","FayetteCounty","FranklinCounty","FultonCounty","GalliaCounty","GeaugaCounty","GreeneCounty","GuernseyCounty","HamiltonCounty","HancockCounty","HardinCounty","HarrisonCounty","HenryCounty","HighlandCounty","HockingCounty","HolmesCounty","HuronCounty","JacksonCounty","JeffersonCounty","KnoxCounty","LakeCounty","LawrenceCounty","LickingCounty","LoganCounty","LorainCounty","LucasCounty","MadisonCounty","MahoningCounty","MarionCounty","MedinaCounty","MeigsCounty","MercerCounty","MiamiCounty","MonroeCounty","MontgomeryCounty","MorganCounty","MorrowCounty","MuskingumCounty","NobleCounty","OttawaCounty","PauldingCounty","PerryCounty","PickawayCounty","PikeCounty","PortageCounty","PrebleCounty","PutnamCounty","RichlandCounty","RossCounty","SanduskyCounty","SciotoCounty","SenecaCounty","ShelbyCounty","StarkCounty","SummitCounty","TrumbullCounty","TuscarawasCounty","UnionCounty","VanWertCounty","VintonCounty","WarrenCounty","WashingtonCounty","WayneCounty","WilliamsCounty","WoodCounty","WyandotCounty"
"ShelbyCounty",135,35.9,137.5,257.3,152.6,24.9,197.8,126.9,77.7,209.9,34.5,55.5,105.3,79.3,222.3,149.4,103.7,201.2,37,85.3,81.9,144.1,106.9,91.4,78.7,99.2,176.7,225.6,57.1,161.4,87.6,66.1,57.1,202.6,82.1,101.9,127.7,165.2,131.8,154,215.9,111,225.2,197.4,107.6,32.1,175.6,114.4,63.3,233,86.3,168.9,175.7,36.7,21.3,208.5,44.3,157.8,105.9,134.7,181.3,132.9,68.1,130.9,93.6,143.3,205.8,64.4,58.2,123,123.7,115.6,173.1,93.3,10.4,189,185.3,236,190.3,56.2,50.3,153.5,73,192.4,159.2,99.7,91.4,78.8
"StarkCounty",225.9,157.8,56.2,93,141.9,176.8,89.8,232,236,30.2,160.6,181.1,241.3,194.6,42,62.6,87.8,54.1,207,205,114.3,99.9,133.9,171.5,128.4,178.7,188.6,56.1,191.3,64.8,232,135.6,133.3,56.4,167.1,198.4,136.7,42.1,83.9,183.3,61.9,77.5,70.8,226.7,104,159.3,71.3,162.1,155.6,46.8,104.3,42.8,158.4,196.4,209.5,100.5,202.1,115.9,96.3,88.8,88.8,126.7,197.2,117.4,154.3,191.6,32.2,225.2,163,68.5,175.3,114.3,221.4,112.2,189,12.4,22.1,58.9,30.8,134,182.6,160.6,211.7,116.9,38.1,207.2,162.1,110.3
"SummitCounty",227.7,154.1,52.2,83.4,161.2,173,109.1,228.3,232.3,49.5,156.9,177.4,237.6,190.9,56.4,81.9,84.1,36.4,203.3,187.3,110.5,82.2,153.3,167.8,124.6,160.9,207.9,47,187.5,84.1,228.3,131.9,129.6,75.7,161.5,194.7,156,53.6,69.6,204.2,81.2,91.4,50,247.6,117.5,155.6,53.6,144.4,151.9,51.7,100.6,26,177.7,192.7,205.8,119.9,198.3,135.2,92.6,108.1,108.2,109,193.5,136.7,150.6,193.5,17.9,221.5,159.2,64.7,177.2,108.7,223.3,97.8,185.3,22.3,10.5,50.1,50.2,130.3,178.9,179.9,208,136.3,32.5,189.4,144.3,106.6
"TrumbullCounty",278.5,204.8,102.9,41.2,199.1,223.8,109.4,279,283,61.8,207.6,228.1,288.3,241.6,37.1,119.8,134.9,57.6,254,215.3,161.3,110.1,191.1,218.5,175.4,188.9,245.8,39.5,238.3,122,279,182.6,180.3,100.1,189.4,245.4,193.9,99.6,120.5,240.5,81.4,142.2,58.4,283.9,161.2,206.3,81.6,172.3,202.6,20.5,151.3,71.8,215.6,243.4,256.5,139.4,249.1,173.1,143.3,146,146.1,136.9,231.9,174.6,201.3,244.2,31.9,272.2,209.7,115.5,227.9,136.6,274,143.9,236,58.9,50,13,88.1,181,229.6,217.8,258.7,174.1,78.6,217.4,172.3,157.4
"TuscarawasCounty",197.8,159.1,57.5,122.1,113.8,178.1,62,215.7,212.6,30.1,162.1,168.8,225,178.3,55.4,34.5,89.2,75.1,217.1,193.9,115.6,105.9,105.8,155.2,118.7,176.8,160.5,85.2,178.9,36.7,215.7,136.9,134.6,28.7,171.3,182.1,108.6,31.8,88.1,155.2,50.6,68,98.7,198.6,75.9,155.5,92.4,160.3,143.3,75.9,105.6,61.7,130.3,197.8,197.2,72.8,189.8,87.8,97.6,60.7,60.8,127.2,198.5,89.3,136.7,163.5,61.3,212.9,164.3,69.8,147.2,118.5,193.3,116.4,190.3,30.8,50.1,88.1,12.3,130.2,184,132.5,195.4,88.8,41,205.3,149.9,111.7
"UnionCounty",131.7,61.9,84.8,202.3,109.8,61.3,156,112.5,100.5,154.9,29.9,42.8,128.1,75.1,167.3,97.6,51.3,143.8,76.3,113.9,28.9,92.3,64.1,57.8,35.8,123.4,130.8,170.6,57.1,119.7,110.4,56.4,32.3,147.4,103.1,95.3,84.8,95.7,85.2,108.2,174.1,58,168.9,151.5,55.8,28.6,125.6,106.2,31.6,177.9,25.6,113.8,132.9,81,60.5,166.8,66.5,116,44.3,92.9,139.5,105.1,112.4,89.2,57.6,97.5,150.8,89.7,84.4,62.7,81.2,87.8,127.2,69.1,56.2,134,130.3,181,130.2,10.8,94.6,107.7,87,149.6,104.2,136.9,83.3,50.3
"VanWertCounty",189.9,34.7,131.1,250.9,201.1,36.2,247.3,181.9,105.6,203.5,87.5,110.5,160.3,134.3,215.9,171.6,97.3,195.7,52.5,36.6,124,138.5,155.4,146.4,127.2,69.5,222.2,219.2,112.1,211,142.6,60.5,63.9,209.5,64.1,156.9,176.1,158.8,126.2,199.5,231.4,138.2,217.5,242.9,147.1,67.1,170.1,108.8,118.3,226.6,97.1,162.5,224.2,26.8,76.3,258.1,99.2,207.3,113.9,184.3,230.8,127.3,19.5,180.5,148.9,188.8,199.4,79.4,31,116.6,172.5,110,218.6,87.7,50.3,182.6,178.9,229.6,184,94.6,10.4,199,128,240.9,152.9,51.1,85.9,72.5
"VintonCounty",77.7,168.9,127.3,250,29,165.8,136.6,108.8,129.9,162.3,119,105.7,115.8,85.8,187.6,103.8,141.9,191.5,154,226.9,97.4,183.8,48,66,73.7,237,44,215,94.9,100.3,133,170,139.3,141.5,216.7,72.1,21.9,123.3,160.1,21.3,154.8,92.6,216.6,64.7,70.2,133,173.4,219.8,87.4,205.7,121,161.6,44.6,185.4,134.1,116.8,112.1,63.1,116.3,73.6,92.7,199.5,216.9,49.3,56.1,47.4,191.1,134,197.4,119.5,38.3,182.2,50.6,163.6,153.5,160.6,179.9,217.8,132.5,107.7,199,10.5,112.7,71.7,137.7,250.5,196.9,144.8
"WarrenCounty",88,105.8,162.6,280,141.1,94.8,199.5,59.6,18.2,225.1,63.7,49.1,38,28.5,250.5,155.5,137.3,221.5,73.5,163,104.5,178.3,103.6,52.4,84.8,169.1,135.9,248.3,27.9,163.2,28.1,136,103.2,204.4,152,51.1,124.3,164.1,190.1,113.2,217.7,133.3,246.6,153.1,112.9,82.6,203.4,184.3,61.1,255.6,111.6,191.6,160.9,114.4,53.6,210.3,31.8,159.5,125.4,136.4,183,202.8,145.9,132.7,81.1,102.5,228.5,42.5,128.1,149.5,82.9,185.5,123.4,163.1,73,211.7,208,258.7,195.4,87,128,112.7,10.4,189.1,181.9,177.4,161.4,126.9
"WashingtonCounty",142.3,210.8,143.6,208.2,42.9,207.7,93,173.4,206.3,118.6,160.9,167.6,180.4,156.9,143.9,92.4,175.3,161.2,215.9,267.8,138.2,192,88.8,137.1,114.5,262.9,74.9,171.3,177.8,56.6,209.4,210.8,181.2,97.8,257.5,143.2,68.7,115.2,174.2,85.9,111.1,125.9,184.8,129.3,112.6,174.9,178.4,246.3,137.7,162,161.8,147.8,50.8,227.3,196,54.1,188.6,48,158.2,76.4,38.5,213.3,258.8,64.2,110.1,112,147.4,211.7,238.2,155.9,109.4,204.6,115.2,202.5,192.4,116.9,136.2,174.1,88.8,149.6,240.9,71.7,189.1,13,127.1,291.4,237.7,185.6
"WayneCounty",201.7,128,26.4,110.2,131.1,147,100,202.2,206.2,59,130.9,151.3,211.5,164.8,71.4,47.3,58.1,51.7,177.2,162.8,84.5,74.8,99.8,141.7,98.6,145.7,198.8,78.5,161.5,75,202.2,105.8,103.5,66.6,140.2,168.6,113.8,23,57,178.1,88.5,51.2,76.8,221.5,77.2,129.5,50.7,129.1,125.8,80.2,74.5,26.2,168.6,166.6,179.7,110.8,172.3,112.2,66.5,81.3,99.1,96.1,167.4,101.3,124.5,167.4,53,195.4,133.2,38.7,151.1,87.4,197.2,85.3,159.2,38.1,32.5,78.6,41,104.2,152.9,137.7,181.9,127.1,12.1,174.2,118.8,80.6
"WilliamsCounty",239.4,80.8,150.6,227.4,251.5,85.7,264.2,231.3,155,234.5,137,159.9,209.7,183.7,230.9,207.1,130.8,167.4,102,23.9,157.5,117.8,205.8,195.8,176.3,29.3,267.1,198.5,161.6,239.2,192.1,82.1,110.1,230.8,39.6,206.3,226.6,182.6,122.5,244.4,252.7,171.7,191.4,287.8,188.6,116.5,141.8,58.8,167.8,224,130.6,161.6,274.6,76.3,125.7,275,148.7,248.3,147.4,225.2,263.3,91.4,33.1,221.4,193.9,233.7,190,128.8,57.3,153.1,217.4,89,263.5,102.3,99.7,207.2,189.4,217.4,205.3,136.9,51.1,250.5,177.4,291.4,174.2,10.6,69.3,106
"WoodCounty",214.3,61,95.2,182.3,197.8,79.2,208.8,215.2,166.1,189.4,93.1,109.9,193.6,167.6,185.8,151.4,77.1,122.3,125.3,53.4,103.8,60.8,152.1,140.3,122.6,40.8,213.4,153.4,145.5,198.2,176,28.4,56.5,175.4,29.6,190.2,172.9,127.2,67.1,190.8,197.3,118,146.3,234.1,134.9,76.1,96.7,23.6,114.2,178.9,76.9,106.2,220.9,98.9,109.6,219.6,132.6,194.6,93.7,171.5,218.1,46.3,70,167.7,140.2,180,144.9,152.7,49.9,96.4,163.8,32.4,209.8,43.4,91.4,162.1,144.3,172.3,149.9,83.3,85.9,196.9,161.4,237.7,118.8,69.3,12.8,52.3
"WyandotCounty",171.6,47.6,58.8,178.6,145.7,66.6,182.5,172.1,153.4,131.3,65.9,82.8,181,134.7,143.6,99.3,25,120.1,112.7,82.4,51.7,62.9,100,111.6,70.5,92.4,170.7,146.9,97.1,146.1,163.4,25.4,29.3,137.2,72.2,138.5,120.8,86.5,59,148.1,159.1,65.9,145.3,191.4,82.8,48.9,85.7,75.3,82.4,154.3,24.8,90.2,168.9,86.3,97,193.3,120,142.5,41.6,119.4,166,57.5,87,115.6,94.4,137.3,127.1,140.1,52.8,44.3,121.1,40.3,167.1,21.6,78.8,110.3,106.6,157.4,111.7,50.3,72.5,144.8,126.9,185.6,80.6,106,52.3,10.4
