"County","AdamsCounty","BarnesCounty","BensonCounty","BillingsCounty","BottineauCounty","BowmanCounty","BurkeCounty","BurleighCounty","CassCounty","CavalierCounty","DickeyCounty","DivideCounty","DunnCounty","EddyCounty","EmmonsCounty","FosterCounty","GoldenValleyCounty","GrandForksCounty","GrantCounty","GriggsCounty","HettingerCounty","KidderCounty","LaMoureCounty","LoganCounty","McHenryCounty","McIntoshCounty","McKenzieCounty","McLeanCounty","MercerCounty","MortonCounty","MountrailCounty","NelsonCounty","OliverCounty","PembinaCounty","PierceCounty","RamseyCounty","RansomCounty","RenvilleCounty","RichlandCounty","RoletteCounty","SargentCounty","SheridanCounty","SiouxCounty","SlopeCounty","StarkCounty","SteeleCounty","StutsmanCounty","TownerCounty","TraillCounty","WalshCounty","WardCounty","WellsCounty","WilliamsCounty"
"SargentCounty",312,81.2,212.1,348,310,392.2,377.1,209.3,87.7,222.5,66.5,420.9,333.9,185.6,151.7,154.8,366.3,180,285.6,122.9,335.2,173.7,73.3,136,281.3,117.3,402.4,274.7,286.8,243.3,368,153.5,258.4,248.4,246.4,205.6,31,333.2,47.9,282.9,15.2,240.4,245.8,373.3,308.3,117.5,126.3,242.5,146.5,193,296.7,195,390.4
"SheridanCounty",225.9,160.5,85.9,219.2,104.9,263.5,172.8,80.6,209.9,175.6,191.6,216.6,145.7,96.1,103.4,81.4,237.6,190.4,156.9,114.4,206.5,70.4,168.6,121.4,77,147,192.3,68.7,99.5,114.6,141.8,144.5,93.5,221.4,73.8,124,210.6,129,265.3,123.4,240.4,16.3,144.4,244.5,179.6,144.6,113.1,136.6,171.4,191.5,92.5,59.5,186.1
"SiouxCounty",130.3,193.3,216.5,184.9,241.9,169.4,262.3,72.5,242.7,306.2,202.9,306.1,170.9,213.6,129.4,196.7,203.3,303.3,68.7,226,112.4,119.4,201.4,154.2,191.3,150.9,239.4,125.8,123.8,80.3,219,269,95.3,347.7,204.4,253.6,243.4,218.5,298.1,254,245.8,144.4,17.3,169.3,145.2,256.7,160.1,267.2,283.5,315.3,182,174.9,275.6
"SlopeCounty",71.8,293.4,316.6,63.7,309.4,27.7,237.6,172.6,342.8,406.3,324.5,212.5,109.2,313.7,229.4,296.8,82.1,403.4,102.2,326.1,61.2,219.5,301.5,254.3,273.4,273.8,118.2,193.3,149.1,142.3,182.9,369.1,150.7,447.8,304.5,353.7,343.5,251.9,398.2,344.8,373.3,244.5,169.3,18,70.2,356.8,260.2,367.3,383.6,415.4,249.5,275,175.9
"StarkCounty",83.5,228.4,251.6,44.9,244.4,89.1,180.1,107.7,277.8,341.3,259.5,193.6,51.7,248.7,164.5,231.9,63.2,338.4,92.4,261.1,58.3,154.5,236.5,189.3,208.4,208.9,99.3,128.3,84.2,77.3,125.5,304.1,85.7,382.8,239.5,288.7,278.5,194.4,333.2,279.8,308.3,179.6,145.2,70.2,18.8,291.8,195.2,302.3,318.6,350.4,184.5,210,157
"SteeleCounty",338.2,64.8,121.5,331.5,209.9,375.7,293.6,192.9,83,122.4,159.3,337.4,263.6,87.7,215.6,64.5,349.8,70.9,269.2,32.6,318.8,157.3,132.6,161.6,189.5,193.8,313,186.7,217.5,226.8,262.6,53.4,241.9,114.9,158.1,105.6,87.7,249.8,128.6,182.8,117.5,144.6,256.7,356.8,291.8,13.8,109.9,142.5,35.1,85.8,213.3,111.5,306.9
"StutsmanCounty",241.6,46.4,97.1,234.9,194.1,279.1,262.1,96.3,95.9,163.7,77.6,305.9,220.8,70.7,119,53.8,253.2,156.4,172.6,79.2,222.2,60.7,54.5,65,166.3,97.2,289.3,161.7,173.8,130.2,231.1,110.9,145.3,200.8,131.4,110.6,96.5,218.3,151.3,175.7,126.3,113.1,160.1,260.2,195.2,109.9,24.7,135.4,136.7,168.5,181.7,80,275.4
"TownerCounty",348.6,168.5,53.3,342,87.5,386.2,181.7,203.4,208.1,48.6,202.8,225.5,269.4,77.4,226.1,103.6,360.3,128.1,279.7,125,329.2,163.6,179.8,204.7,107.4,236.9,265.1,179.4,223.2,237.3,195.6,95.4,218.9,94.3,76,57.5,212.7,129.3,258.6,41.5,242.5,136.6,267.2,367.3,302.3,142.5,135.4,16.6,164.2,93.5,146.2,98.1,239.9
"TraillCounty",365,91.6,143.2,358.3,231.7,402.6,330.4,219.7,67.6,144.1,186.1,374.2,290.5,114.5,242.5,91.3,376.7,50.8,296,59.4,345.6,184.1,159.4,188.4,211.3,220.6,339.9,213.5,244.3,253.7,299.4,79.3,268.8,119.1,179.8,127.3,110.5,286.6,101,204.5,146.5,171.4,283.5,383.6,318.6,35.1,136.7,164.2,15.1,93.8,250.1,138.3,343.7
"WalshCounty",396.8,135.3,108.2,390.1,171.8,434.4,266,251.5,144.2,64.4,217.9,309.8,333,121.6,274.3,126.6,408.5,49.2,327.8,94.7,377.4,215.9,194.9,220.3,170.9,252.4,328.7,242.9,286.8,285.5,259.1,61.7,300.5,35.3,139.5,81,163.2,213.6,177.6,134.1,193,191.5,315.3,415.4,350.4,85.8,168.5,93.5,93.8,18.5,209.8,155.5,303.4
"WardCounty",230.8,216.8,125.3,194.2,80.8,268.4,85.6,123.5,266.3,185.2,249.1,129.4,148.9,141.1,187.1,150,242.5,213.9,181.3,183.1,211.4,157,226.1,211.9,49.7,231.5,136.6,58.9,102.7,134.6,54.6,181.3,108.3,231,86.1,147.5,266.9,41.8,321.6,121,296.7,92.5,182,249.5,184.5,213.3,181.7,146.2,250.1,209.8,23.3,105.3,99
"WellsCounty",256.4,115,47.3,249.7,117.7,293.9,185.7,111.1,164.5,135.6,147.4,229.5,178.5,42.6,133.8,48.2,268,147.4,187.4,81.3,237,71.3,124.4,122.3,89.9,147.8,205.1,101.6,132.4,145,154.7,91,126.3,180.7,55,82.5,165.1,141.9,219.9,104.6,195,59.5,174.9,275,210,111.5,80,98.1,138.3,155.5,105.3,18.5,199
"WilliamsCounty",224.8,310.5,219,133.4,164.3,194.8,91.3,217.1,359.9,278.9,342.8,49.3,132.5,234.8,280.8,243.6,134.5,307.6,244.3,276.7,199.4,250.7,319.8,305.6,143.3,325.1,59,152.6,173.9,229.1,61.3,274.9,202,324.7,179.7,241.2,360.6,114.4,415.3,204.5,390.4,186.1,275.6,175.9,157,306.9,275.4,239.9,343.7,303.4,99,199,23.8
