,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
1-0-0-1-1-2,5.232965063417e-05,0,0,2.87019197996606e-05,0.000101222258774705,0.000117017834894718
1-0-0-1-2-0,0.00089614526711016,0,0,0.000491520376569188,0.00349216792772731,0
1-0-0-1-2-1,6.54120632927124e-05,0,0,3.58773997495757e-05,0.000265708429283599,6.88340205263049e-05
1-0-0-1-2-2,1.30824126585425e-05,0,0,7.17547994991515e-06,5.06111293873523e-05,4.81838143684134e-05
1-0-0-2-0-0,0.0766956442107053,0,0,0.0853523340042407,0,0
1-0-0-2-0-1,0.00291737802285497,0,0,0.00340476523623474,0,0.0030699973154732
1-0-0-2-0-2,0.000438260824061173,0,0,0.000505871336469018,0,0.000949909483263008
1-0-0-2-1-0,0.00191657345447647,0,0,0.0022746271441231,0.00370726522762355,0
1-0-0-2-1-1,0.000457884443048987,0,0,0.000548924216168509,0.000885694764278665,0.000481838143684134
1-0-0-2-1-2,3.27060316463562e-05,0,0,4.30528796994909e-05,6.32639117341903e-05,7.57174225789354e-05
1-0-0-2-2-0,0.000359766348109918,0,0,0.000430528796994909,0.00144241718753954,0
1-0-0-2-2-1,1.30824126585425e-05,0,0,1.79386998747879e-05,6.32639117341903e-05,1.3766804105261e-05
1-0-0-2-2-2,1.30824126585425e-05,0,0,1.43509598998303e-05,5.06111293873523e-05,3.44170102631525e-05
1-0-1-0-0-0,0.00970060898630926,0,0.0164750319391213,0,0,0
1-0-1-0-0-1,0.000333601522792833,0,0.00056657223796034,0,0,0.000351053504684155
1-0-1-0-0-2,0.00015698895190251,0,0.000266622229628395,0,0,0.000351053504684155
1-0-1-0-1-0,0.000830733203817448,0,0.00141087596511692,0,0.00160690335804843,0
1-0-1-0-1-1,0.00026164825317085,0,0.000444370382713992,0,0.000506111293873523,0.00027533608210522
1-0-1-0-1-2,6.54120632927124e-06,0,1.11092595678498e-05,0,1.26527823468381e-05,1.3766804105261e-05
1-0-1-0-2-0,0.000549461331658785,0,0.000933177803699383,0,0.00213832021661563,0
1-0-1-0-2-1,2.6164825317085e-05,0,4.44370382713992e-05,0,0.000113875041121543,2.7533608210522e-05
1-0-1-0-2-2,6.54120632927124e-06,0,1.11092595678498e-05,0,2.53055646936761e-05,1.3766804105261e-05
1-0-1-1-0-0,0.0213439562524121,0,0.0362495139698939,0.0117067955382866,0,0
